Name,Age,Nationality,Club,Value,Preferred Foot,Height,Weight
R. Norrington-Davies,23,Wales,Sheffield United,€2.6M,Left,181cm,70kg
J. van Hecke,22,Netherlands,Brighton & Hove Albion,€3.9M,Right,185cm,78kg
21 G. Murray,36,England,Nottingham Forest,€650K,Right,183cm,80kg
20 C. McCann,17,Republic of Ireland,Manchester United,€240K,Right,175cm,65kg
N. Patterson,20,Scotland,Everton,€2M,Right,183cm,66kg
Chiquinho,22,Portugal,Wolverhampton Wanderers,€3.4M,Right,179cm,72kg
M. Fossey,23,United States,Fulham,€1.6M,Right,179cm,77kg
P. Cutrone,24,Italy,Wolverhampton Wanderers,€3.6M,Right,183cm,79kg
L. Taylor,32,Montserrat,Nottingham Forest,€1.1M,Right,188cm,79kg
R. Holding,26,England,Arsenal,€11.5M,Right,189cm,75kg
S. Surridge,23,England,Nottingham Forest,€3M,Right,191cm,77kg
H. Mejbri,19,Tunisia,Manchester United,€1.6M,Right,182cm,70kg
J. Cain,20,England,Liverpool,€875K,Right,176cm,62kg
A. Ogbonna,34,Italy,West Ham United,€5.5M,Left,191cm,86kg
Y. Mina,27,Colombia,Everton,€11M,Right,195cm,94kg
22 J. Oksanen,20,Finland,Brentford,€1M,Left,184cm,72kg
L. Colwill,19,England,Brighton & Hove Albion,€3.5M,Left,191cm,83kg
22 L. Hall,16,England,Chelsea,€700K,Left,180cm,72kg
C. Chukwuemeka,18,England,Chelsea,€1.9M,Right,185cm,70kg
H. Cornick,27,England,Luton Town,€1.9M,Right,180cm,84kg
D. Sarmiento,19,Argentina,Manchester City,€2.4M,Left,170cm,60kg
D. Sterling,22,England,Chelsea,€2.6M,Right,180cm,72kg
K. Kesler Hayden,19,England,Aston Villa,€2.3M,Right,175cm,62kg
N. Nkounkou,21,France,Everton,€2M,Left,180cm,78kg
M. Azeez,19,England,Arsenal,€1.2M,Right,180cm,65kg
19 M. Richards,30,England,Aston Villa,€675K,Right,180cm,83kg
A. Webster,27,England,Brighton & Hove Albion,€8.5M,Right,191cm,75kg
T. Akinola,21,England,Arsenal,€925K,Right,177cm,73kg
C. Archer,20,England,Aston Villa,€3.5M,Right,179cm,74kg
A. Diallo,19,Côte d'Ivoire,Manchester United,€3.6M,Left,173cm,72kg
B. Norton-Cuffy,18,England,Arsenal,€1.6M,Right,181cm,70kg
S. van den Berg,20,Netherlands,Liverpool,€3.8M,Right,194cm,78kg
R. Brewster,22,England,Sheffield United,€3.2M,Right,180cm,75kg
P. Jones,30,England,Manchester United,€2.5M,Right,185cm,71kg
I. Diop,25,France,West Ham United,€14M,Right,194cm,92kg
J. Olayinka,21,England,Arsenal,€600K,Right,175cm,68kg
22 M. Hector,28,Jamaica,Fulham,€1.8M,Right,193cm,82kg
T. Lockyer,27,Wales,Luton Town,€1.7M,Right,185cm,72kg
T. Iroegbunam,19,England,Aston Villa,€1.1M,Right,183cm,70kg
D. Burn,30,England,Newcastle United,€8.5M,Left,198cm,87kg
M. Rogers,19,England,Manchester City,€2.2M,Right,187cm,80kg
C. Morris,26,England,Luton Town,€1.6M,Right,185cm,85kg
D. Potts,28,England,Luton Town,€925K,Left,178cm,70kg
I. Ndiaye,22,Senegal,Sheffield United,€3.1M,Right,180cm,70kg
S. Jasper,21,Bulgaria,Fulham,€1.6M,Right,172cm,71kg
J. O'Connell,28,England,Sheffield United,€2.4M,Left,191cm,85kg
C. Richards,22,United States,Crystal Palace,€9M,Right,188cm,87kg
P. Jansson,31,Sweden,Brentford,€3.8M,Right,194cm,86kg
22 T. O'Reilly,17,Republic of Ireland,Aston Villa,€375K,Left,170cm,63kg
T. Harwood-Bellis,20,England,Burnley,€3.2M,Right,188cm,73kg
Bruno Jordão,23,Portugal,Wolverhampton Wanderers,€875K,Right,180cm,73kg
F. Stevanović,19,Serbia,Manchester City,€1.2M,Right,178cm,72kg
M. Clarke,25,England,Brighton & Hove Albion,€2.9M,Left,185cm,83kg
D. Bernard,21,England,Manchester United,€2.9M,Right,189cm,81kg
22 H. Vale,17,England,Chelsea,€1.3M,Left,180cm,68kg
22 Marc Jurado,17,Spain,Manchester United,€775K,Right,178cm,65kg
L. Cundle,20,England,Wolverhampton Wanderers,€650K,Right,170cm,62kg
T. Francois,21,Australia,Fulham,€725K,Left,173cm,65kg
D. Jebbison,18,England,Sheffield United,€1.7M,Right,190cm,78kg
S. Shoretire,18,England,Manchester United,€1.5M,Right,175cm,70kg
T. Mengi,20,England,Manchester United,€2.3M,Right,183cm,78kg
22 Z. Iqbal,18,Iraq,Manchester United,€825K,Right,181cm,65kg
K. John,21,England,Everton,€1.1M,Right,176cm,68kg
22 E. Dixon-Bonner,20,England,Liverpool,€475K,Right,180cm,75kg
M. Peart-Harris,19,England,Brentford,€950K,Right,187cm,70kg
T. Adarabioyo,24,England,Fulham,€11.5M,Right,196cm,80kg
22 C. Cîrjan,18,Romania,Arsenal,€1M,Right,174cm,60kg
22 C. Wellens,18,England,Manchester United,€600K,Right,175cm,61kg
M. Moreno,25,Colombia,Manchester City,€1.6M,Right,171cm,66kg
22 I. Hansen-Aarøen,16,Norway,Manchester United,€775K,Right,173cm,65kg
22 J. Turner-Cooke,17,England,Newcastle United,€500K,Left,179cm,63kg
19 P. Crouch,37,England,Burnley,€900K,Right,201cm,75kg
A. Devine,17,England,Tottenham Hotspur,€775K,Right,180cm,70kg
N. Collins,21,Republic of Ireland,Wolverhampton Wanderers,€10.5M,Right,193cm,81kg
N. Ferguson,21,England,Crystal Palace,€2.3M,Right,178cm,70kg
C. Campbell,19,Wales,Wolverhampton Wanderers,€625K,Right,180cm,72kg
22 C. Musonda,24,Belgium,Chelsea,€3M,Right,173cm,66kg
22 S. Oulad M'Hand,17,Netherlands,Arsenal,€825K,Right,177cm,69kg
22 O. Hutchinson,17,England,Arsenal,€1.5M,Left,174cm,65kg
S. Muñoz,19,Mexico,Newcastle United,€2M,Right,179cm,67kg
M. Ebiowei,18,England,Crystal Palace,€1.7M,Left,185cm,80kg
J. Sarmiento,20,Ecuador,Brighton & Hove Albion,€2.1M,Right,183cm,73kg
J. White,19,England,Newcastle United,€525K,Left,186cm,70kg
F. Stevens,19,Wales,Brentford,€900K,Right,173cm,73kg
22 H. Lindley,18,England,Aston Villa,€350K,Right,182cm,70kg
L. Plange,19,England,Crystal Palace,€2M,Right,183cm,76kg
Hugo Bueno,19,Spain,Wolverhampton Wanderers,€600K,Left,180cm,73kg
S. Duffy,30,Republic of Ireland,Fulham,€3.5M,Right,193cm,76kg
K. Phillips,20,Republic of Ireland,Crystal Palace,€500K,Right,190cm,85kg
21 B. Carroll,18,England,Everton,€325K,Right,176cm,62kg
22 C. Savage,18,Wales,Manchester United,€600K,Left,182cm,63kg
A. Robertson,19,England,Manchester City,€575K,Right,180cm,66kg
J. McAtee,19,England,Sheffield United,€1M,Left,180cm,72kg
J. Wells-Morrison,18,England,Crystal Palace,€450K,Left,180cm,73kg
22 Alejandro Garnacho,17,Argentina,Manchester United,€1.5M,Right,180cm,70kg
22 B. Hardley,18,Netherlands,Manchester United,€1M,Left,189cm,74kg
Ederson,28,Brazil,Manchester City,€88M,Left,188cm,86kg
22 G. McEachran,20,England,Chelsea,€600K,Left,172cm,65kg
22 O. Hesketh,18,Wales,Wolverhampton Wanderers,€275K,Right,180cm,67kg
22 Joel López,19,Spain,Arsenal,€825K,Left,179cm,70kg
H. Ashby,20,Scotland,West Ham United,€925K,Right,180cm,75kg
K. Appiah-Forson,20,England,West Ham United,€350K,Right,170cm,64kg
22 L. de Bolle,18,Scotland,Newcastle United,€575K,Right,179cm,66kg
B. Young,19,England,Aston Villa,€950K,Right,185cm,73kg
Pablo Marí,28,Spain,Arsenal,€5.5M,Left,193cm,87kg
22 S. McAllister,18,Northern Ireland,Everton,€575K,Right,180cm,75kg
L. Delap,19,England,Manchester City,€2.2M,Right,186cm,80kg
G. Osho,23,England,Luton Town,€1.9M,Right,185cm,70kg
R. Burke,25,England,Luton Town,€1.6M,Right,189cm,81kg
E. Longelo,21,England,West Ham United,€525K,Left,181cm,70kg
22 L. Bogarde,17,Netherlands,Aston Villa,€525K,Right,183cm,70kg
O. Dodgson,19,England,Burnley,€500K,Left,178cm,70kg
22 T. Adaramola,17,Republic of Ireland,Crystal Palace,€475K,Left,177cm,69kg
22 M. Paskotši,18,Estonia,Tottenham Hotspur,€600K,Right,182cm,76kg
Kayky,19,Brazil,Manchester City,€2.4M,Left,175cm,67kg
22 D. Gore,16,England,Manchester United,€500K,Right,173cm,65kg
22 J. Hodge,18,Republic of Ireland,Wolverhampton Wanderers,€325K,Right,172cm,65kg
J. Enciso,18,Paraguay,Brighton & Hove Albion,€1.3M,Right,168cm,64kg
L. Watson,20,Republic of Ireland,Luton Town,€875K,Right,176cm,60kg
22 C. Webster,17,England,Chelsea,€450K,Right,178cm,73kg
L. Matheson,19,England,Wolverhampton Wanderers,€600K,Right,168cm,62kg
F. Fernández,33,Argentina,Newcastle United,€2M,Right,190cm,83kg
22 L. Pye,17,England,Manchester United,€550K,Left,178cm,72kg
22 J. Giddings,19,England,Crystal Palace,€500K,Right,177cm,75kg
S. McKenna,25,Scotland,Nottingham Forest,€4M,Left,189cm,80kg
M. Sørensen,23,Denmark,Brentford,€2.9M,Left,193cm,92kg
22 J. Bennett,19,England,Tottenham Hotspur,€1.5M,Right,180cm,75kg
22 R. Thomson,17,Scotland,Newcastle United,€350K,Left,173cm,66kg
22 C. McNeill,17,England,Manchester United,€1.3M,Right,182cm,74kg
J. Stansfield,19,England,Fulham,€1.3M,Right,182cm,68kg
22 D. Hoogewerf,18,Netherlands,Manchester United,€625K,Right,165cm,60kg
22 N. Emeran,18,France,Manchester United,€575K,Left,179cm,67kg
22 D. Williams,17,England,Chelsea,€725K,Left,170cm,64kg
22 T. Collyer,17,England,Manchester United,€575K,Right,180cm,75kg
22 B. Cottrell,19,England,Arsenal,€525K,Left,166cm,59kg
18 P. Mertesacker,32,Germany,Arsenal,€8.5M,Right,198cm,90kg
J. Lascelles,28,England,Newcastle United,€5.5M,Right,188cm,83kg
22 A. Moran,17,Republic of Ireland,Brighton & Hove Albion,€500K,Right,177cm,73kg
D. Costelloe,19,Republic of Ireland,Burnley,€1M,Right,181cm,74kg
22 A. Mawson,27,England,Fulham,€1.7M,Right,189cm,90kg
A. Mighten,20,England,Nottingham Forest,€2.5M,Right,172cm,70kg
B. Chrisene,18,England,Aston Villa,€625K,Left,183cm,80kg
22 Z. Brunt,19,England,Sheffield United,€475K,Right,175cm,70kg
M. Helm,20,England,Burnley,€450K,Right,178cm,70kg
N. Phillips,25,England,Liverpool,€3.6M,Right,190cm,84kg
J. Rak-Sakyi,19,England,Crystal Palace,€1M,Left,178cm,73kg
21 W. Rickard,18,Wales,Burnley,€300K,Right,177cm,77kg
22 J. Fevrier,18,England,West Ham United,€300K,Left,175cm,71kg
22 A. Tanimowo,19,England,Brighton & Hove Albion,€375K,Right,176cm,73kg
22 F. Maguire,17,England,Sheffield United,€400K,Right,175cm,72kg
P. Glatzel,21,Germany,Liverpool,€375K,Left,174cm,67kg
A. Konaté,21,France,Nottingham Forest,€800K,Right,179cm,66kg
22 J. Ideho,17,Netherlands,Arsenal,€1M,Right,175cm,70kg
22 I. Jagne,17,Sweden,Everton,€325K,Right,180cm,75kg
C. Goode,26,England,Brentford,€1.1M,Right,196cm,75kg
J. Worrall,25,England,Nottingham Forest,€6M,Right,190cm,90kg
O. Hammond,19,England,Nottingham Forest,€275K,Right,179cm,64kg
22 S. Mather,16,England,Manchester United,€700K,Right,180cm,65kg
21 I. Diallo,20,England,Burnley,€275K,Right,177cm,77kg
A. Okoflex,20,Republic of Ireland,West Ham United,€650K,Right,186cm,72kg
09 O. Dacourt,33,France,Fulham,€0,Right,178cm,73kg
P. Ekwah Elimby,20,France,West Ham United,€500K,Left,187cm,76kg
J. Pickford,28,England,Everton,€26M,Left,185cm,77kg
H. Birtwistle,18,Singapore,Wolverhampton Wanderers,€300K,Right,180cm,77kg
22 T. Nevers,19,England,West Ham United,€575K,Right,179cm,66kg
L. McNally,22,Republic of Ireland,Burnley,€2.1M,Right,193cm,86kg
C. Egan-Riley,19,England,Burnley,€1.1M,Right,183cm,75kg
22 G. Lewis,21,Norway,Arsenal,€550K,Right,170cm,63kg
F. Potts,18,England,West Ham United,€300K,Right,180cm,70kg
22 S. Edozie,18,England,Manchester City,€1.1M,Right,167cm,71kg
22 D. Stephenson,18,England,Newcastle United,€575K,Right,183cm,73kg
22 L. Mbete,17,England,Manchester City,€1M,Left,185cm,78kg
T. Ablade,20,Finland,Fulham,€550K,Right,181cm,75kg
22 C. Stanley,19,England,Manchester United,€450K,Right,175cm,66kg
22 J. Wilson-Esbrand,18,England,Manchester City,€550K,Left,176cm,65kg
22 E. Ennis,16,England,Manchester United,€550K,Right,178cm,76kg
S. Bradley,30,England,Luton Town,€1.3M,Left,196cm,90kg
A. Odubeko,19,Republic of Ireland,West Ham United,€850K,Right,182cm,72kg
J. Norris,19,England,Liverpool,€600K,Left,178cm,73kg
22 J. Hodnett,18,England,Wolverhampton Wanderers,€110K,Right,168cm,62kg
L. Richardson,19,England,Burnley,€775K,Right,179cm,70kg
D. Lembikisa,18,Jamaica,Wolverhampton Wanderers,€300K,Left,177cm,68kg
22 J. Hugill,17,England,Manchester United,€1M,Right,188cm,70kg
22 V. Adedokun,18,Republic of Ireland,Brentford,€240K,Left,180cm,69kg
22 W. Kambwala,16,France,Manchester United,€575K,Right,192cm,77kg
K. Gordon,17,England,Liverpool,€1.2M,Left,173cm,65kg
A. Gilbert,20,Republic of Ireland,Brentford,€500K,Right,183cm,64kg
20 A. El Mhassani,18,Netherlands,West Ham United,€250K,Left,173cm,70kg
22 M. Bondswell,19,England,Newcastle United,€475K,Left,183cm,77kg
Christian Marques,19,Portugal,Wolverhampton Wanderers,€550K,Right,187cm,75kg
22 J. Scott,18,England,Newcastle United,€400K,Left,180cm,67kg
22 A. Diallo,18,England,West Ham United,€325K,Right,173cm,63kg
E. Ferguson,17,Republic of Ireland,Brighton & Hove Albion,€700K,Right,177cm,74kg
A. Pressley,20,Scotland,Brentford,€800K,Right,189cm,75kg
E. Martínez,29,Argentina,Aston Villa,€29M,Right,195cm,88kg
R. Street,20,England,Crystal Palace,€550K,Right,188cm,70kg
22 N. Brookwell,19,England,Newcastle United,€275K,Right,188cm,74kg
L. Mbe Soh,21,France,Nottingham Forest,€1.8M,Right,187cm,86kg
R. Savage,20,England,Newcastle United,€450K,Left,185cm,83kg
O. Offiah,19,England,Brighton & Hove Albion,€550K,Right,181cm,81kg
22 M. Haygarth,19,England,Brentford,€400K,Left,176cm,64kg
20 L. Longstaff,18,England,Liverpool,€190K,Left,179cm,63kg
22 O. Forson,16,England,Manchester United,€550K,Left,179cm,68kg
22 L. Harkin,18,Northern Ireland,Wolverhampton Wanderers,€220K,Right,165cm,55kg
22 T. Roberts,17,England,Wolverhampton Wanderers,€300K,Right,177cm,70kg
22 A. Keto-Diyawa,17,England,Wolverhampton Wanderers,€220K,Left,172cm,67kg
22 J. Barnes,20,England,Nottingham Forest,€220K,Left,182cm,75kg
22 D. Chesters,19,England,West Ham United,€400K,Right,173cm,68kg
Alisson,29,Brazil,Liverpool,€79M,Right,191cm,91kg
20 J. Walls,17,England,Liverpool,€160K,Right,174cm,60kg
B. Thomas,21,England,Burnley,€1.1M,Right,191cm,77kg
21 C. Barrett,18,England,Burnley,€275K,Right,175cm,70kg
22 J. Russell,19,England,Brentford,€450K,Right,178cm,64kg
V. Akinwale,17,England,Crystal Palace,€400K,Right,181cm,60kg
22 M. Ifill,17,England,Brighton & Hove Albion,€275K,Right,176cm,66kg
22 W. Greenidge,19,England,West Ham United,€240K,Right,182cm,70kg
22 C. Wiggett,18,England,Newcastle United,€475K,Right,188cm,82kg
22 R. Bennett,17,England,Manchester United,€525K,Right,187cm,74kg
De Gea,31,Spain,Manchester United,€42M,Right,192cm,76kg
R. Trevitt,19,England,Brentford,€400K,Right,170cm,65kg
22 J. Oliver,18,England,Newcastle United,€350K,Right,178cm,67kg
I. Price,18,Northern Ireland,Everton,€150K,Right,178cm,74kg
22 T. Addy,19,England,Luton Town,€375K,Left,182cm,68kg
P. Gazzaniga,30,Argentina,Fulham,€2.8M,Right,196cm,90kg
22 E. McJannet,17,Republic of Ireland,Luton Town,€300K,Right,177cm,69kg
22 E. Turns,18,England,Brighton & Hove Albion,€475K,Left,185cm,76kg
22 C. Ferguson,18,England,Newcastle United,€425K,Left,185cm,79kg
D. Taylor,18,Northern Ireland,Nottingham Forest,€375K,Right,180cm,74kg
Y. Mosquera,21,Colombia,Wolverhampton Wanderers,€1.4M,Right,187cm,76kg
S. Ortega,29,Germany,Manchester City,€14.5M,Right,185cm,88kg
H. Lloris,35,France,Tottenham Hotspur,€9M,Left,188cm,82kg
22 Z. Monlouis,17,England,Arsenal,€525K,Right,185cm,75kg
A. Ramsdale,24,England,Arsenal,€34.5M,Right,191cm,77kg
22 W. Fish,18,England,Manchester United,€550K,Right,185cm,73kg
22 R. Hannam,20,England,Crystal Palace,€300K,Left,178cm,67kg
M. Woltman,18,England,Liverpool,€375K,Right,178cm,67kg
Z. Larkeche,19,France,Fulham,€400K,Left,180cm,67kg
22 L. Dendoncker,20,Belgium,Brighton & Hove Albion,€325K,Right,188cm,78kg
22 D. Revan,20,England,Aston Villa,€675K,Right,192cm,81kg
22 B. Cross,20,South Africa,Newcastle United,€375K,Left,183cm,77kg
22 Mateo Mejía,18,Spain,Manchester United,€525K,Right,188cm,72kg
Guaita,35,Spain,Crystal Palace,€1.9M,Right,190cm,80kg
22 C. Carty,19,Republic of Ireland,Wolverhampton Wanderers,€200K,Right,184cm,73kg
22 J. Hubner,17,Netherlands,Wolverhampton Wanderers,€250K,Right,185cm,75kg
22 J. Brooking,18,England,Chelsea,€650K,Right,185cm,77kg
22 J. Larsson,20,Sweden,Nottingham Forest,€350K,Right,178cm,72kg
Gonçalo Cardoso,21,Portugal,West Ham United,€1.2M,Left,189cm,83kg
22 N. Carlyon,18,England,Newcastle United,€230K,Right,180cm,69kg
A. Areola,29,France,West Ham United,€20M,Right,195cm,94kg
J. Baptiste,18,England,West Ham United,€500K,Right,183cm,75kg
O. Tipton,18,England,Wolverhampton Wanderers,€170K,Right,185cm,74kg
A. Hackford,18,England,Sheffield United,€575K,Right,177cm,68kg
22 A. Kirk,18,England,Arsenal,€450K,Right,187cm,78kg
22 A. Tsoungui,18,Belgium,Brighton & Hove Albion,€600K,Right,185cm,87kg
W. Osula,18,Denmark,Sheffield United,€325K,Left,180cm,75kg
David Raya,26,Spain,Brentford,€7M,Right,183cm,75kg
22 S. Beckwith,19,England,Luton Town,€110K,Left,183cm,68kg
20 H. Ogunby,18,England,Burnley,€160K,Right,175cm,71kg
22 Z. Emmerson,16,England,Brighton & Hove Albion,€350K,Right,180cm,70kg
J. O'Brien,21,Republic of Ireland,Crystal Palace,€475K,Right,197cm,84kg
22 Z. Awe,17,England,Arsenal,€375K,Right,186cm,75kg
B. Lyons-Foster,21,England,Tottenham Hotspur,€475K,Right,185cm,74kg
B. Leno,30,Germany,Fulham,€14M,Right,190cm,83kg
22 T. Crama,19,France,Brentford,€375K,Right,192cm,78kg
José Sá,29,Portugal,Wolverhampton Wanderers,€20M,Right,192cm,84kg
22 M. Muir,18,England,Tottenham Hotspur,€325K,Right,180cm,70kg
20 J. Joseph,17,England,Wolverhampton Wanderers,€110K,Right,195cm,78kg
J. Butland,29,England,Crystal Palace,€2.1M,Right,196cm,95kg
22 D. Esapa Osong,16,England,Nottingham Forest,€325K,Right,183cm,73kg
22 A. Donnelly,18,Northern Ireland,Nottingham Forest,€190K,Left,178cm,72kg
Kepa,27,Spain,Chelsea,€20.5M,Right,186cm,88kg
22 S. Swinkels,17,Netherlands,Aston Villa,€325K,Right,190cm,78kg
22 L. Badley-Morgan,17,England,Chelsea,€275K,Left,186cm,79kg
22 K. Lopata,19,Poland,Sheffield United,€375K,Right,192cm,82kg
D. Henderson,25,England,Nottingham Forest,€18M,Right,188cm,85kg
N. Pope,30,England,Newcastle United,€17M,Right,199cm,76kg
B. Peacock-Farrell,25,Northern Ireland,Burnley,€1.3M,Left,192cm,74kg
J. Feeney,17,England,Aston Villa,€375K,Right,194cm,82kg
22 J. McGlynn,18,Scotland,Burnley,€120K,Right,180cm,70kg
22 K. Kandola,17,England,Wolverhampton Wanderers,€110K,Right,177cm,67kg
09 Fábio Paim,20,Portugal,Chelsea,€0,Right,176cm,66kg
K. Darlow,31,England,Newcastle United,€3M,Right,190cm,88kg
22 H. Hagan,18,England,Everton,€220K,Right,185cm,75kg
T. Heaton,36,England,Manchester United,€350K,Right,188cm,85kg
Robert Sánchez,24,Spain,Brighton & Hove Albion,€13.5M,Right,197cm,85kg
20 A. Koutismouka,17,France,Brentford,€130K,Left,191cm,70kg
22 A. Jones,19,England,Luton Town,€130K,Right,184cm,76kg
S. Johnstone,29,England,Crystal Palace,€4.7M,Right,193cm,85kg
Adrián,35,Spain,Liverpool,€250K,Right,190cm,80kg
É. Mendy,30,Senegal,Chelsea,€51M,Right,197cm,86kg
F. Forster,34,England,Tottenham Hotspur,€1.3M,Right,201cm,93kg
22 L. Karius,28,Germany,Liverpool,€1.7M,Right,189cm,87kg
22 R. Rama,20,Albania,Nottingham Forest,€210K,Right,182cm,71kg
R. Olsen,32,Sweden,Aston Villa,€2.8M,Right,196cm,86kg
T. Strakosha,27,Albania,Brentford,€14M,Right,193cm,78kg
22 M. Thomas-Sadler,18,Wales,Nottingham Forest,€170K,Right,188cm,75kg
M. Rodák,25,Slovakia,Fulham,€6.5M,Right,194cm,81kg
D. Randolph,35,Republic of Ireland,West Ham United,€350K,Right,188cm,78kg
M. Turner,28,United States,Arsenal,€9.5M,Right,191cm,79kg
20 B. Tricker,18,England,Fulham,€100K,Right,193cm,80kg
R. Rúnarsson,27,Iceland,Arsenal,€1.5M,Right,186cm,76kg
A. Murić,23,Kosovo,Burnley,€4.5M,Right,197cm,81kg
W. Hennessey,35,Wales,Nottingham Forest,€475K,Right,198cm,90kg
19 P. Čech,36,Czech Republic,Arsenal,€2.4M,Left,196cm,90kg
C. Kelleher,23,Republic of Ireland,Liverpool,€5M,Right,188cm,74kg
J. Steele,31,England,Brighton & Hove Albion,€375K,Right,188cm,79kg
22 D. Martin,35,England,West Ham United,€60K,Right,188cm,86kg
R. Welch,18,England,Everton,€275K,Right,196cm,94kg
18 C. Ikeme,31,Nigeria,Wolverhampton Wanderers,€1.1M,Right,191cm,100kg
M. Gillespie,30,England,Newcastle United,€775K,Right,192cm,83kg
M. Bettinelli,30,England,Chelsea,€1.2M,Right,194cm,82kg
S. Carson,36,England,Manchester City,€80K,Right,190cm,86kg
M. Macey,27,England,Luton Town,€925K,Right,201cm,81kg
W. Norris,28,England,Burnley,€575K,Left,195cm,81kg
21 D. Iliev,25,North Macedonia,Arsenal,€350K,Right,196cm,80kg
22 W. Brown,19,England,Newcastle United,€300K,Right,184cm,74kg
N. Trott,23,England,West Ham United,€1.4M,Left,188cm,75kg
09 I. Roper,31,England,Luton Town,€0,Right,191cm,89kg
K. Scherpen,22,Netherlands,Brighton & Hove Albion,€2M,Right,202cm,85kg
M. Šarkić,24,Montenegro,Wolverhampton Wanderers,€1.5M,Right,195cm,76kg
22 P. Banda,17,Poland,Newcastle United,€230K,Right,191cm,72kg
22 B. Winterbottom,19,England,Brentford,€220K,Right,188cm,66kg
G. Shelvey,21,England,Nottingham Forest,€250K,Right,188cm,77kg
22 R. Rees,19,England,Brentford,€210K,Right,189cm,66kg
B. Austin,23,England,Tottenham Hotspur,€1.1M,Right,188cm,75kg
M. Cox,19,England,Brentford,€525K,Right,182cm,74kg
22 Marcelo Pitaluga,18,Brazil,Liverpool,€400K,Right,191cm,86kg
22 O. Mastný,19,Czech Republic,Manchester United,€300K,Right,187cm,76kg
22 D. Mee,18,Northern Ireland,Manchester United,€210K,Right,183cm,70kg
22 T. Wooster,16,England,Manchester United,€230K,Right,195cm,85kg
22 T. Sharman-Lowe,18,England,Chelsea,€210K,Right,189cm,80kg
J. Amissah,20,Germany,Sheffield United,€170K,Right,198cm,97kg
20 J. Young,16,England,Wolverhampton Wanderers,€70K,Right,179cm,75kg
S. Waller,18,England,Burnley,€80K,Right,186cm,81kg
22 P. Arinbjörnsson,17,Iceland,Wolverhampton Wanderers,€90K,Right,191cm,75kg
22 Á. Onódi,19,Hungary,Aston Villa,€110K,Right,195cm,84kg
