long_name,age,Height,Weight,club_name,Value,preferred_foot,nationality
Timothy Evans Fosu-Mensah,21,185,78,Manchester United,5500000,Right,Netherlands
Chris Mepham,21,191,75,Bournemouth,5500000,Right,Wales
Kelechi Promise Iheanacho,22,183,80,Leicester City,5500000,Left,Nigeria
Isaac Ajayi Success,23,182,90,Watford,5500000,Right,Nigeria
Jordon Ibe,23,176,81,Bournemouth,5500000,Right,England
Callum Robinson,24,178,75,Sheffield United,5500000,Right,Republic of Ireland
Daniel Amartey,24,186,79,Leicester City,4500000,Right,Ghana
Karl Darlow,28,190,78,Newcastle United,3500000,Right,England
Moritz Leitner,26,176,68,Norwich City,4800000,Right,Germany
Tom Trybull,26,181,72,Norwich City,4300000,Right,Germany
Luke Anthony Freeman,27,172,73,Sheffield United,4600000,Left,England
John Fleck,27,169,72,Sheffield United,4500000,Left,Scotland
Kevin Long,28,190,82,Burnley,3900000,Right,Republic of Ireland
Matěj Vydra,27,175,71,Burnley,4600000,Right,Czech Republic
Onel Lázaro Hernández Mayea,26,172,76,Norwich City,4700000,Right,Germany
Danny Ward,26,191,88,Leicester City,3300000,Right,Wales
Maarten Stekelenburg,36,197,92,Everton,675000,Right,Netherlands
Christian Fuchs,33,187,89,Leicester City,1800000,Left,Austria
Charlie Daniels,32,178,75,Bournemouth,2500000,Left,England
Tim Krul,31,188,74,Norwich City,2600000,Left,Netherlands
Fraser Forster,31,201,93,Southampton,2600000,Right,England
Sebastian Prödl,32,196,97,Watford,2600000,Right,Austria
Mario Vrančić,30,187,78,Norwich City,3700000,Left,Bosnia Herzegovina
Erik Pieters,30,186,87,Burnley,3200000,Left,Netherlands
Ryan Bennett,29,188,78,Wolverhampton Wanderers,3400000,Right,England
Chris Basham,30,190,80,Sheffield United,3200000,Right,England
Joel Ward,29,188,83,Crystal Palace,3300000,Right,England
Jonathan Kodjia,29,189,77,Aston Villa,4000000,Right,Ivory Coast
Marco Stiepermann,28,190,86,Norwich City,4000000,Left,Germany
Matias Ezequiel Schelotto,30,187,77,Brighton & Hove Albion,3200000,Right,Italy
José Ignacio Peleteiro Ramallo,28,180,70,Aston Villa,4000000,Left,Spain
El-Hadji Baye Oumar Niasse,29,182,82,Everton,4000000,Right,Senegal
Reiss Nelson,19,175,71,Arsenal,6000000,Right,England
Maximillian James Aarons,19,178,73,Norwich City,5500000,Right,England
Daniel James,21,170,76,Manchester United,5500000,Right,Wales
Sean Longstaff,21,180,65,Newcastle United,5500000,Right,England
Jamal Lewis,21,177,70,Norwich City,4800000,Left,Northern Ireland
Fikayo Tomori,21,185,75,Chelsea,4900000,Right,England
Tudor Cristian Băluţă,20,191,80,Brighton & Hove Albion,5000000,Right,Romania
Matt Targett,23,183,70,Aston Villa,4300000,Left,England
Adalberto Peñaranda Maestre,22,185,83,Watford,4600000,Right,Venezuela
Ben Osborn,24,176,75,Sheffield United,3700000,Left,England
Muhamed Bešić,26,180,80,Sheffield United,3800000,Right,Bosnia Herzegovina
Sam Byram,25,183,72,Norwich City,3400000,Right,England
Leonardo Bonatini Lohner Maia,25,184,83,Wolverhampton Wanderers,4000000,Right,Brazil
Jaïro Riedewald,22,182,79,Crystal Palace,3500000,Left,Netherlands
Christoph Zimmermann,26,194,92,Norwich City,3400000,Right,Germany
Michael Hector,26,193,82,Chelsea,3300000,Right,Jamaica
Gustavo Lucas Domingues Piazón,25,182,73,Chelsea,3800000,Right,Brazil
Ken Sema,25,180,69,Watford,3800000,Left,Sweden
Kenny McLean,27,183,70,Norwich City,3500000,Left,Scotland
Lee Grant,36,193,83,Manchester United,525000,Right,England
Scott Carson,33,190,86,Manchester City,1700000,Right,England
Phil Bardsley,34,180,79,Burnley,1100000,Right,Scotland
David McGoldrick,31,183,74,Sheffield United,2800000,Right,Republic of Ireland
Ørjan Håskjold Nyland,28,192,90,Aston Villa,2300000,Right,Norway
Ben Godfrey,21,183,74,Norwich City,3700000,Right,England
Kevin Danso,20,190,89,Southampton,3400000,Right,Austria
Bartosz Kapustka,22,179,67,Leicester City,3500000,Right,Poland
Lys Mousset,23,184,80,Sheffield United,3200000,Right,France
Dan Burn,27,198,87,Brighton & Hove Albion,2400000,Left,England
Alexander Banor Tettey,33,180,68,Norwich City,1200000,Right,Norway
Jack Colback,29,177,77,Newcastle United,2000000,Left,England
Morgan Gibbs-White,19,178,70,Wolverhampton Wanderers,3800000,Right,England
Rúben Gonçalo Silva Nascimento Vinagre,20,174,64,Wolverhampton Wanderers,3600000,Left,Portugal
Konstantinos Mavropanos,21,194,88,Arsenal,2900000,Right,Greece
Dominic Solanke,21,187,80,Bournemouth,2900000,Right,England
Ezri Konsa Ngoyo,21,183,77,Aston Villa,2600000,Right,England
Jack Stacey,23,178,62,Bournemouth,2500000,Right,England
Rolando Aarons,23,178,76,Newcastle United,2500000,Left,England
Michael Verrips,22,195,90,Sheffield United,1900000,Right,Netherlands
Fousseni Diabaté,23,175,60,Leicester City,2400000,Left,Mali
Jed Steer,26,188,80,Aston Villa,1600000,Left,England
Connor Wickham,26,191,90,Crystal Palace,2200000,Right,England
Roderick Jefferson Gonçalves Miranda,28,192,89,Wolverhampton Wanderers,1700000,Right,Portugal
Grant Hanley,27,187,81,Norwich City,1800000,Right,Scotland
Leon Clarke,34,188,89,Sheffield United,925000,Right,England
John Ruddy,32,193,97,Wolverhampton Wanderers,1100000,Right,England
Rob Elliot,33,190,94,Newcastle United,950000,Left,Republic of Ireland
Neil Taylor,30,175,75,Aston Villa,1400000,Left,Wales
Henri Lansbury,28,183,85,Aston Villa,1800000,Right,England
Ahmed Eissa El Mohamady Abdel Fattah,31,183,78,Aston Villa,1300000,Right,Egypt
Rhu-endly Martina,29,185,77,Everton,1500000,Right,Curacao
Philip Heise,28,184,78,Norwich City,1500000,Left,Germany
Domingos Quina,19,175,66,Watford,2300000,Right,Portugal
James Justin,21,183,71,Leicester City,2100000,Right,England
Yan Valery,20,180,70,Southampton,1900000,Right,France
Callum Connolly,21,183,70,Everton,1700000,Right,England
Marcus Edwards,20,167,78,Tottenham Hotspur,1700000,Left,England
Bailey Peacock-Farrell,22,192,73,Burnley,1300000,Left,Northern Ireland
Daniel Bachmann,24,191,81,Watford,1100000,Right,Austria
Jamal Blackman,25,199,93,Chelsea,1000000,Right,England
George Baldock,26,175,67,Sheffield United,1100000,Right,England
Richard Stearman,31,191,76,Sheffield United,775000,Right,England
Tomer Hemed,32,186,80,Brighton & Hove Albion,850000,Right,Israel
Adilson Angel Abreu de Almeida Gomes,18,169,61,Manchester United,1800000,Right,England
Lloyd Kelly,20,191,70,Bournemouth,1800000,Left,England
Gabriel Teodoro Martinelli Silva,18,180,75,Arsenal,1800000,Right,Brazil
Aaron Ramsdale,21,188,77,Bournemouth,1200000,Right,England
Pontus Dahlberg,20,195,90,Watford,1100000,Right,Sweden
Jimmy Dunne,21,183,75,Burnley,1300000,Right,Republic of Ireland
Kortney Hause,23,191,93,Aston Villa,1300000,Left,England
Todd Cantwell,21,184,70,Norwich City,1400000,Right,England
Dennis Srbeny,25,190,83,Norwich City,1200000,Right,Germany
Jason Steele,28,188,79,Brighton & Hove Albion,750000,Right,England
Kieron Freeman,27,178,79,Sheffield United,900000,Right,Wales
Eldin Jakupović,34,191,85,Leicester City,400000,Right,Switzerland
Michael McGovern,34,191,89,Norwich City,400000,Right,Northern Ireland
Jake Wright Sr.,33,185,70,Sheffield United,425000,Left,England
David Button,30,191,87,Brighton & Hove Albion,600000,Right,England
Matty James,27,181,86,Leicester City,925000,Right,England
Mason Greenwood,17,187,65,Manchester United,1500000,Left,England
Oliver Skipp,18,175,70,Tottenham Hotspur,1500000,Right,England
Joseph Willock,19,184,71,Arsenal,1600000,Right,England
Gonçalo Bento Soares Cardoso,18,189,83,West Ham United,1200000,Left,Portugal
Herbie Kane,20,177,67,Liverpool,1200000,Right,England
Beni Baningime,20,178,70,Everton,1100000,Right,DR Congo
Jake Hesketh,23,168,63,Southampton,1200000,Right,England
Jack Simpson,22,191,83,Bournemouth,1100000,Left,England
Alexandre Nascimento Costa Silva,22,177,68,West Ham United,1000000,Right,Portugal
Cameron Borthwick-Jackson,22,189,73,Manchester United,925000,Left,England
John Lundstram,25,181,74,Sheffield United,950000,Right,England
Achraf Lazaar,27,184,80,Newcastle United,750000,Left,Morocco
Simon Moore,29,191,83,Sheffield United,550000,Right,England
Ricky Holmes,32,172,75,Sheffield United,600000,Right,England
Sepp van den Berg,17,194,78,Liverpool,1200000,Right,Netherlands
Pedro Lomba Neto,19,172,63,Wolverhampton Wanderers,1400000,Left,Portugal
Eric García Martret,18,182,79,Manchester City,1200000,Right,Spain
Claudio Gomes,18,180,70,Manchester City,1200000,Right,France
Demetri Mitchell,22,181,71,Manchester United,1000000,Left,England
Pedro Chirivella Burgos,22,178,66,Liverpool,925000,Right,Spain
Jarosław Jach,25,192,81,Crystal Palace,800000,Left,Poland
Matt Macey,24,198,81,Arsenal,675000,Right,England
Sam McQueen,24,181,70,Southampton,775000,Left,England
Aaron Tshibola,24,183,81,Aston Villa,850000,Right,DR Congo
Samir Carruthers,26,173,70,Sheffield United,800000,Right,Republic of Ireland
David Edward Martin,33,188,86,West Ham United,350000,Right,England
Stephen Henderson,31,188,87,Crystal Palace,425000,Right,Republic of Ireland
Bukayo Saka,17,178,70,Arsenal,1200000,Left,England
Tahith Chong,19,185,75,Manchester United,1200000,Left,Netherlands
Emile Smith Rowe,18,182,64,Arsenal,1100000,Right,England
Japhet Tanganga,20,184,73,Tottenham Hotspur,1100000,Left,England
Anders Laustrup Dreyer,21,172,70,Brighton & Hove Albion,950000,Left,Denmark
Kelechi Nwakali,21,181,76,Arsenal,950000,Right,Nigeria
George Thomas,22,173,76,Leicester City,925000,Right,Wales
Keinan Davis,21,188,75,Aston Villa,925000,Right,England
Sam Hughes,22,187,80,Leicester City,800000,Right,England
Soufyan Ahannach,23,173,66,Brighton & Hove Albion,750000,Left,Netherlands
Ryan Inniss,24,196,84,Crystal Palace,675000,Right,England
Jordan Graham,24,182,73,Wolverhampton Wanderers,700000,Right,England
Andrew Lonergan,35,192,87,Liverpool,150000,Left,England
Philemon Ofosu-Ayeh,27,181,81,Wolverhampton Wanderers,475000,Right,Ghana
Troy Parrott,17,175,72,Tottenham Hotspur,1000000,Right,Republic of Ireland
Rhian Brewster,19,180,75,Liverpool,975000,Right,England
Ellis Simms,18,183,73,Everton,950000,Right,England
Morgan Feeney,20,190,77,Everton,925000,Right,England
Aaron Anthony Connolly,19,177,77,Brighton & Hove Albion,975000,Right,Republic of Ireland
Mark Travers,20,191,82,Bournemouth,850000,Right,Republic of Ireland
Kean Bryan,22,185,72,Sheffield United,675000,Left,England
Adam Legzdins,32,190,90,Burnley,275000,Right,England
Adam Uche Idah,18,190,83,Norwich City,850000,Right,Republic of Ireland
James Garner,18,183,75,Manchester United,725000,Right,England
Zechariah Medley,18,195,75,Arsenal,700000,Left,England
George Marsh,20,178,68,Tottenham Hotspur,775000,Right,England
Jack Roles,20,183,67,Tottenham Hotspur,800000,Left,Cyprus
Manasse Mampala,18,183,75,Everton,775000,Right,England
Víctor Fernández Satué,21,175,70,Newcastle United,800000,Right,Spain
Michael Obafemi,18,169,71,Southampton,775000,Right,Republic of Ireland
Alfie Whiteman,20,190,76,Tottenham Hotspur,575000,Right,England
Meritan Shabani,20,185,78,Wolverhampton Wanderers,700000,Right,Germany
Harry Burgoyne,22,193,80,Wolverhampton Wanderers,525000,Right,England
Anthony Michael Georgiou,22,179,73,Tottenham Hotspur,575000,Left,Cyprus
Ben Heneghan,25,191,79,Sheffield United,450000,Right,England
Ki-Jana Hoever,17,183,67,Liverpool,625000,Right,Netherlands
Billy Gilmour,18,170,67,Chelsea,675000,Right,Scotland
Felix Kalu Nmecha,18,186,70,Manchester City,625000,Right,England
Fraser Hornby,19,188,77,Everton,650000,Right,Scotland
Matthew Longstaff,19,180,72,Newcastle United,650000,Right,England
Callum Slattery,20,190,70,Southampton,675000,Right,England
Nnamdi Ofoborh,19,175,77,Bournemouth,650000,Right,Nigeria
Bernard Patrick Ashley-Seal,20,187,80,Wolverhampton Wanderers,675000,Right,England
Harry Lewis,21,186,77,Southampton,425000,Right,England
Josh Benson,19,175,74,Burnley,525000,Right,England
Mihai Alexandru Dobre,20,178,71,Bournemouth,525000,Right,Romania
Adam Phillips,21,180,76,Burnley,475000,Right,England
Connor Johnson,21,188,78,Wolverhampton Wanderers,400000,Right,England
Curtis Jones,18,182,68,Liverpool,575000,Right,England
Aidan Fitzpatrick,18,177,72,Norwich City,525000,Left,Scotland
Alexandru Ștefan Pașcanu,20,185,73,Leicester City,525000,Right,Romania
Lorenzo José González Montesdeoca,19,167,67,Manchester City,550000,Right,Switzerland
Kayne Ramsay,18,179,66,Southampton,475000,Right,England
Nathan Holland,21,178,70,West Ham United,475000,Right,England
Kyle Taylor,19,178,70,Bournemouth,425000,Right,England
Jamie Sterry,23,180,76,Newcastle United,325000,Right,England
Paul Glatzel,18,174,67,Liverpool,425000,Left,Germany
Joël Latibeaudiere,19,180,72,Manchester City,425000,Right,England
Adam Lewis,19,175,63,Liverpool,400000,Left,England
Benjamín Antonio Garré,18,171,63,Manchester City,425000,Left,Argentina
Gassan Ahadme Yahyai,18,188,76,Norwich City,425000,Right,Morocco
James Tilley,21,175,69,Brighton & Hove Albion,450000,Left,England
Callum O'Hare,21,173,65,Aston Villa,450000,Right,England
Maximilian Kilman,22,195,80,Wolverhampton Wanderers,375000,Left,England
John Kitolano,19,174,68,Wolverhampton Wanderers,325000,Left,Norway
Matt Butcher,22,188,83,Bournemouth,325000,Left,England
Bruno André Cavaco Jordão,20,180,71,Wolverhampton Wanderers,325000,Right,Portugal
Ali Koiki,19,180,70,Burnley,275000,Left,England
Marcus Barnes,22,185,72,Southampton,300000,Left,England
Gavin Bazunu,17,188,73,Manchester City,275000,Right,Republic of Ireland
Jamie Bowden,17,183,78,Tottenham Hotspur,325000,Right,England
Nya Kirby,19,173,66,Crystal Palace,325000,Right,England
Daniel Adshead,17,185,70,Norwich City,300000,Right,England
Yasser Larouci,18,175,69,Liverpool,300000,Left,Algeria
Josh Martin,17,177,70,Norwich City,300000,Right,England
James Daly,19,178,70,Crystal Palace,325000,Left,England
Luke Dreher,20,184,77,Crystal Palace,350000,Right,England
Caoimhin Kelleher,20,188,69,Liverpool,300000,Right,Republic of Ireland
Tyler Cordner,20,189,75,Bournemouth,250000,Right,England
Kian Flanagan,19,179,72,Crystal Palace,275000,Right,Republic of Ireland
Jason Eyenga-Lokilo,20,175,65,Crystal Palace,275000,Left,DR Congo
Oluwarotimi Mark Odusina,19,186,74,Norwich City,250000,Right,England
Conor Coventry,19,175,65,West Ham United,275000,Right,Republic of Ireland
Giovanni McGregor,20,176,71,Crystal Palace,275000,Right,England
Max Harrison Sanders,20,176,80,Brighton & Hove Albion,275000,Right,England
Joe Powell,20,178,68,West Ham United,250000,Left,England
Mésaque Geremias Djú,20,178,63,West Ham United,250000,Right,Portugal
Oskar Buur Rasmussen,21,176,70,Wolverhampton Wanderers,210000,Right,Denmark
Rob Nizet,17,183,66,Norwich City,190000,Left,Belgium
Ayotomiwa Dele-Bashiru,19,179,68,Watford,220000,Right,Nigeria
Robert Lee Burton,19,170,65,Arsenal,220000,Right,Wales
Robert Harker,19,181,80,Burnley,220000,Right,England
Jake Vokins,19,180,70,Southampton,210000,Left,England
Sam Woods,20,186,77,Crystal Palace,210000,Right,England
Oladapo Afolayan,21,180,70,West Ham United,190000,Right,England
Daniel Kemp,20,168,63,West Ham United,170000,Left,England
Ryan Cooney,19,176,68,Burnley,130000,Right,England
Dion Sanderson,19,186,78,Wolverhampton Wanderers,180000,Right,England
Dominic Revan,18,192,81,Aston Villa,170000,Left,England
Tyreke Wilson,19,172,66,Manchester City,180000,Left,Republic of Ireland
Tyreece Romayo John-Jules,18,175,75,Arsenal,190000,Right,England
Stephen Mallon,20,178,64,Sheffield United,200000,Left,Republic of Ireland
Owen John Edward Bailey,20,183,77,Newcastle United,190000,Right,England
Anthony Driscoll-Glennon,19,175,72,Burnley,150000,Left,England
Steven Alzate,20,180,65,Brighton & Hove Albion,160000,Right,England
Taylor Perry,17,180,73,Wolverhampton Wanderers,160000,Right,England
Benjamin Johnson,19,175,67,West Ham United,160000,Right,England
Daniel Grimshaw,21,185,77,Manchester City,150000,Right,England
Nikola Tavares,20,185,76,Crystal Palace,140000,Left,Croatia
Easah Zaheer Suliman,21,185,78,Aston Villa,130000,Right,England
Akin Famewo,20,187,66,Norwich City,130000,Left,England
Jamie Cumming,19,186,78,Chelsea,120000,Right,England
Keenan Ferguson,19,187,80,Sheffield United,140000,Right,England
Jack Aidan Clarke,20,175,65,Aston Villa,140000,Left,Republic of Ireland
Marcus Dewhurst,18,189,70,Sheffield United,110000,Right,England
Jacob Ramsey,18,180,70,Aston Villa,130000,Right,England
Jordan Raymond Cox,20,176,68,Aston Villa,130000,Left,England
George McMahon,19,191,86,Burnley,110000,Right,England
Callum Miles Rowe,19,180,70,Aston Villa,110000,Right,England
Jake Young,17,186,77,Sheffield United,70000,Right,England
