long_name,age,Height,Weight,nationality,club_name,value_eur,preferred_foot
Wes Morgan,36,186,101,Jamaica,Leicester City,800000,Right
Christian Fuchs,34,187,89,Austria,Leicester City,1400000,Left
Scott Dann,33,188,78,England,Crystal Palace,1900000,Right
Billy Sharp,34,175,70,England,Sheffield United,2100000,Right
Phil Bardsley,35,180,79,Scotland,Burnley,1100000,Right
Jonas Lössl,31,195,89,Denmark,Everton,2600000,Right
Daniel Noel Drinkwater,30,177,81,England,Chelsea,3700000,Right
Romaine Theodore Sawyers,28,185,67,Saint Kitts and Nevis,West Bromwich Albion,4000000,Right
Mateusz Klich,30,183,82,Poland,Leeds United,3700000,Right
Matěj Vydra,28,180,71,Czech Republic,Burnley,4100000,Right
Stuart Dallas,29,183,81,Northern Ireland,Leeds United,3300000,Right
Ezgjan Alioski,28,172,63,North Macedonia,Leeds United,3400000,Left
Rachid Ghezzal,28,182,70,Algeria,Leicester City,4000000,Left
Guido Marcelo Carrillo,29,191,87,Argentina,Southampton,4000000,Right
Matthew Longstaff,20,171,60,England,Newcastle United,6000000,Right
Eric García Martret,19,182,79,Spain,Manchester City,5500000,Right
Pedro Lomba Neto,20,172,62,Portugal,Wolverhampton Wanderers,5500000,Left
Jayden Bogle,19,178,69,England,Sheffield United,4700000,Right
Reiss Nelson,20,180,75,England,Arsenal,5000000,Right
Yan Valery,21,180,85,France,Southampton,4600000,Right
Max Lowe,23,175,74,England,Sheffield United,4300000,Left
Christian Walton,24,195,72,England,Brighton & Hove Albion,3500000,Left
Kortney Hause,24,191,93,England,Aston Villa,3800000,Left
Josh Brownhill,24,180,69,England,Burnley,4200000,Right
Callum Robinson,25,178,75,Republic of Ireland,West Bromwich Albion,4100000,Right
Michael Hector,27,193,82,Jamaica,Fulham,3300000,Right
Kyle Bartley,29,194,94,England,West Bromwich Albion,2900000,Right
Bobby De Cordova-Reid,27,170,68,Jamaica,Fulham,3600000,Right
Ahmed Hegazi,29,194,95,Egypt,West Bromwich Albion,2900000,Right
Phil Jagielka,37,180,87,England,Sheffield United,625000,Right
Ryan Bennett,30,188,78,England,Wolverhampton Wanderers,2500000,Right
Christian Benteke Liolo,29,190,83,Belgium,Crystal Palace,3100000,Right
Ørjan Håskjold Nyland,29,193,90,Norway,Aston Villa,2200000,Right
Stefan Marius Johansen,29,182,78,Norway,Fulham,3000000,Left
Charlie Austin,30,188,84,England,West Bromwich Albion,3000000,Right
Barry Douglas,30,177,70,Scotland,Leeds United,2500000,Left
José Ignacio Peleteiro Ramallo,29,180,70,Spain,Aston Villa,3000000,Left
Billy Gilmour,19,170,66,Scotland,Chelsea,5000000,Right
Joseph Willock,20,186,76,England,Arsenal,5000000,Right
Ezri Konsa Ngoyo,22,183,77,England,Aston Villa,3900000,Right
Japhet Tanganga,21,184,73,England,Tottenham Hotspur,3900000,Right
Edward Nketiah,21,175,72,England,Arsenal,4300000,Right
Tudor Cristian Băluţă,21,188,80,Romania,Brighton & Hove Albion,3800000,Right
Matt Miazga,24,193,84,United States,Chelsea,2900000,Right
Josh Cullen,24,175,70,Republic of Ireland,West Ham United,3200000,Right
Darnell Furlong,24,183,75,England,West Bromwich Albion,2800000,Right
Fousseni Diabaté,24,175,60,Mali,Leicester City,3100000,Left
Mark Gillespie,28,192,88,England,Newcastle United,2100000,Right
Leonardo Bonatini Lohner Maia,26,184,77,Brazil,Wolverhampton Wanderers,3000000,Right
Jaïro Riedewald,23,182,79,Netherlands,Crystal Palace,2700000,Left
Jacob Murphy,25,179,74,England,Newcastle United,2900000,Right
Conor Townsend,27,183,73,England,West Bromwich Albion,2400000,Left
Patrick Bamford,26,185,71,England,Leeds United,2800000,Left
Kevin McDonald,31,193,96,Scotland,Fulham,1800000,Right
Denis Odoi,32,179,72,Belgium,Fulham,1500000,Right
Ahmed Eissa El Mohamady Abdel Fattah,32,183,78,Egypt,Aston Villa,1500000,Right
Wesley Foderingham,29,185,75,England,Sheffield United,1700000,Left
Kevin Long,29,188,82,Republic of Ireland,Burnley,2000000,Right
Rhian Brewster,20,180,75,England,Liverpool,3900000,Right
Conor Gallagher,20,182,74,England,West Bromwich Albion,3400000,Right
Oluwatosin Adarabioyo,22,193,78,England,Manchester City,2800000,Right
Tyler Roberts,21,180,75,Wales,Leeds United,3100000,Right
Joshua Sims,23,175,67,England,Southampton,2600000,Left
Aaron Anthony Connolly,20,173,77,Republic of Ireland,Brighton & Hove Albion,2600000,Right
Rolando Aarons,24,175,76,England,Newcastle United,2300000,Left
Aboubakar Kamara,25,177,81,France,Fulham,2300000,Right
Jed Steer,27,188,80,England,Aston Villa,1500000,Left
Kenneth Dahrup Zohorè,26,194,96,Denmark,West Bromwich Albion,2200000,Left
Jack Robinson,26,180,67,England,Sheffield United,1800000,Left
Lee Grant,37,193,83,England,Manchester United,180000,Right
Scott Carson,34,190,86,England,Manchester City,775000,Right
John Ruddy,33,193,97,England,Wolverhampton Wanderers,950000,Right
Neil Taylor,31,175,75,Wales,Aston Villa,1300000,Left
Gaetano Berardi,31,178,72,Switzerland,Leeds United,1300000,Right
Hal Robson-Kanu,31,183,83,Wales,West Bromwich Albion,1600000,Left
Maxime Le Marchand,30,185,78,France,Fulham,1400000,Left
Adam Forshaw,28,174,71,England,Leeds United,1600000,Right
Tim Ream,32,187,80,United States,Fulham,1100000,Left
Muhamed Bešić,27,180,80,Bosnia Herzegovina,Everton,1800000,Right
Neeskens Kebano,28,170,65,DR Congo,Fulham,1800000,Right
Emile Smith Rowe,19,182,64,England,Arsenal,2300000,Right
Fábio Daniel Soares Silva,17,185,75,Portugal,Wolverhampton Wanderers,2100000,Right
Nathan Ferguson,19,178,70,England,Crystal Palace,1800000,Right
Michael Obafemi,19,169,71,Republic of Ireland,Southampton,1800000,Right
Illan Meslier,20,196,74,France,Leeds United,1500000,Left
Bailey Peacock-Farrell,23,192,73,Northern Ireland,Burnley,1200000,Left
Philippe Sandler,23,190,82,Netherlands,Manchester City,1400000,Right
Michael Verrips,23,195,90,Netherlands,Sheffield United,1100000,Right
Connor Wickham,27,191,90,England,Crystal Palace,1200000,Right
Roderick Jefferson Gonçalves Miranda,29,192,89,Portugal,Wolverhampton Wanderers,1000000,Right
Lee Peltier,33,177,73,England,West Bromwich Albion,475000,Right
Henri Lansbury,29,183,85,England,Aston Villa,1000000,Right
Crysencio Summerville,18,174,64,Netherlands,Leeds United,1800000,Right
Cameron Carter-Vickers,22,183,92,United States,Tottenham Hotspur,1500000,Right
Steven Alzate,21,180,75,Colombia,Brighton & Hove Albion,1500000,Right
Dara O'Shea,21,188,74,Republic of Ireland,West Bromwich Albion,1300000,Right
Keinan Davis,22,191,75,England,Aston Villa,1400000,Left
Cédric Kipré,23,193,90,Ivory Coast,West Bromwich Albion,1200000,Right
Kyle Edwards,22,172,64,England,West Bromwich Albion,1300000,Right
Nathaniel Phillips,23,190,84,England,Liverpool,1100000,Right
David Button,31,191,87,England,West Bromwich Albion,575000,Right
Neco Williams,19,178,69,Wales,Liverpool,1500000,Right
Ethan Ampadu,19,183,78,Wales,Sheffield United,1500000,Right
Jack Clarke,19,181,74,England,Tottenham Hotspur,1600000,Right
Jayson Molumby,20,178,64,Republic of Ireland,Brighton & Hove Albion,1300000,Right
Rekeem Harper,20,188,76,England,West Bromwich Albion,1300000,Right
Sam Field,22,185,65,England,West Bromwich Albion,1200000,Left
Viktor Gyökeres,22,187,86,Sweden,Brighton & Hove Albion,1300000,Right
Beni Baningime,21,178,70,DR Congo,Everton,1100000,Right
Josh Onomah,23,185,70,England,Fulham,1200000,Right
Jimmy Dunne,22,183,75,Republic of Ireland,Burnley,950000,Right
Oliver Burke,23,188,82,Scotland,Sheffield United,1000000,Right
Jack Rodwell,29,188,78,England,Sheffield United,650000,Right
Jason Steele,29,188,79,England,Brighton & Hove Albion,550000,Right
Simon Moore,30,191,83,England,Sheffield United,525000,Right
Tariq Lamptey,19,167,58,England,Brighton & Hove Albion,1300000,Right
Ethan Laird,18,177,66,England,Manchester United,1200000,Right
Vítor Machado Ferreira,20,172,64,Portugal,Wolverhampton Wanderers,1400000,Right
Benjamin Woodburn,20,174,72,Wales,Liverpool,1400000,Right
Matthew Smith,20,177,68,Wales,Manchester City,1100000,Right
Gonçalo Bento Soares Cardoso,19,189,83,Portugal,West Ham United,1000000,Left
Jerome Opoku,21,195,79,England,Fulham,1000000,Left
Daniel Barlaser,23,184,62,England,Newcastle United,925000,Right
Jake Hesketh,24,168,63,England,Southampton,850000,Right
Sam McQueen,25,181,70,England,Southampton,725000,Left
Jarosław Jach,26,189,78,Poland,Crystal Palace,725000,Left
Eldin Jakupović,35,191,85,Switzerland,Leicester City,170000,Right
David Edward Martin,34,188,86,England,West Ham United,275000,Right
Henri Saivet,29,174,76,Senegal,Newcastle United,625000,Right
Matty James,28,181,86,England,Leicester City,650000,Right
Harvey Elliott,17,170,64,England,Liverpool,1100000,Left
Anthony Gordon,19,185,70,England,Everton,1200000,Right
Teden Mengi,18,183,78,England,Manchester United,1000000,Right
Sepp van den Berg,18,194,78,Netherlands,Liverpool,1000000,Right
William Anthony Patrick Smallbone,20,173,61,Republic of Ireland,Southampton,1200000,Right
Jamie Shackleton,20,168,65,England,Leeds United,1200000,Right
Claudio Gomes,19,180,70,France,Manchester City,950000,Right
Alexandre Nascimento Costa Silva,23,177,68,Portugal,West Ham United,800000,Right
Matt Macey,25,198,93,England,Arsenal,525000,Right
Will Norris,26,191,81,England,Burnley,475000,Left
Stephen Henderson,32,193,87,Republic of Ireland,Crystal Palace,325000,Right
Curtis Jones,19,185,68,England,Liverpool,950000,Right
Dion Sanderson,20,188,78,England,Wolverhampton Wanderers,925000,Right
Tyrick Mitchell,20,175,65,England,Crystal Palace,800000,Left
Leif Davis,20,177,67,England,Leeds United,800000,Left
Robert Lynch Sanchez,22,197,85,Spain,Brighton & Hove Albion,625000,Right
Joël Latibeaudiere,20,180,81,England,Manchester City,700000,Right
Nathan Holland,22,178,70,England,West Ham United,775000,Right
Maximilian Kilman,23,195,80,England,Wolverhampton Wanderers,700000,Left
Jay-Roy Grot,22,193,98,Netherlands,Leeds United,625000,Right
Jonathan Bond,27,193,84,England,West Bromwich Albion,400000,Right
Ryan Inniss,25,196,84,England,Crystal Palace,500000,Right
Ki-Jana Hoever,18,183,72,Netherlands,Wolverhampton Wanderers,775000,Right
Ethan Stuart William Galbraith,19,175,67,Northern Ireland,Manchester United,750000,Right
Ellis Simms,19,183,73,England,Everton,800000,Right
João Manuel Neves Virgínia,20,191,83,Portugal,Everton,575000,Left
Niall Ennis,21,180,80,England,Wolverhampton Wanderers,675000,Right
Alfie Whiteman,21,189,84,England,Tottenham Hotspur,500000,Right
Kean Bryan,23,185,72,England,Sheffield United,550000,Left
Sam Hughes,23,187,80,England,Leicester City,525000,Right
Benjamin Johnson,20,180,70,England,West Ham United,625000,Right
Luke Thomas,19,177,68,England,Leicester City,600000,Left
Ian Carlo Poveda-Ocampo,20,167,64,England,Leeds United,675000,Left
Kayne Ramsay,19,177,66,England,Southampton,600000,Right
Jake Vokins,20,180,70,England,Southampton,625000,Left
Pascal Struijk,20,190,79,Netherlands,Leeds United,550000,Left
Kyle Alex John,19,176,68,England,Everton,525000,Right
Thomas O'Connor,21,180,70,Republic of Ireland,Southampton,500000,Left
Ali Koiki,20,187,81,England,Burnley,500000,Left
George Marsh,21,178,68,England,Tottenham Hotspur,500000,Right
Meritan Shabani,21,185,70,Germany,Wolverhampton Wanderers,550000,Right
Josh Benson,20,175,74,England,Burnley,500000,Right
Kiernan Dewsbury-Hall,21,177,70,England,Leicester City,525000,Left
Dennis Cirkin,18,182,72,England,Tottenham Hotspur,525000,Left
Luke Matheson,17,168,62,England,Wolverhampton Wanderers,500000,Right
Taylor Harwood-Bellis,18,185,72,England,Manchester City,525000,Right
Joe Gelhardt,18,175,76,England,Leeds United,525000,Left
Cody Drameh,18,184,73,England,Leeds United,475000,Right
Sylvester Jasper,19,180,65,England,Fulham,550000,Right
Alfie John Mccalmont,20,173,75,Northern Ireland,Leeds United,525000,Right
Adrián Bernabé García,19,175,68,Spain,Manchester City,550000,Left
Robbie Gotts,20,170,70,England,Leeds United,550000,Right
Max Thompson,18,177,75,England,Burnley,525000,Right
Caoimhin Kelleher,21,188,74,Republic of Ireland,Liverpool,475000,Right
Nathan Tella,20,171,70,England,Southampton,475000,Right
Nathan Trott,21,196,82,England,West Ham United,400000,Left
Anthony Driscoll-Glennon,20,181,72,England,Burnley,400000,Left
Dejan Iliev,25,196,80,North Macedonia,Arsenal,250000,Right
Ouasim Bouy,27,180,79,Netherlands,Leeds United,250000,Left
Jarrad Branthwaite,18,193,70,England,Everton,450000,Left
Thomas Doyle,18,172,72,England,Manchester City,475000,Right
Harvey White,18,178,70,England,Tottenham Hotspur,400000,Left
Folarin Balogun,18,179,70,England,Arsenal,425000,Right
Elia Caprile,18,191,74,Italy,Leeds United,350000,Right
Mateusz Piotr Bogusz,18,175,68,Poland,Leeds United,425000,Right
Nya Kirby,20,174,66,England,Crystal Palace,450000,Right
Lewis Jack Gibson,19,185,73,England,Everton,425000,Left
Romaric Yapi,19,178,70,France,Brighton & Hove Albion,400000,Right
Callum Slattery,21,175,70,England,Southampton,400000,Right
Christoph Klarer,20,194,81,Austria,Southampton,325000,Right
Oskar Buur Rasmussen,22,181,73,Denmark,Wolverhampton Wanderers,300000,Right
Mace Lewin Goodridge,20,178,70,England,Burnley,300000,Right
Brandon Leroy Pierrick Keutcha,18,183,79,England,Crystal Palace,325000,Right
Oliver Casey,19,188,78,England,Leeds United,300000,Right
Conor Coventry,20,175,65,Republic of Ireland,West Ham United,350000,Right
Max Harrison Sanders,21,176,80,England,Brighton & Hove Albion,350000,Right
Elias Sørensen,20,189,77,Denmark,Newcastle United,350000,Right
Sadou Diallo,21,188,82,England,Wolverhampton Wanderers,300000,Right
David Parkhouse,20,185,81,Northern Ireland,Sheffield United,275000,Right
Jaydn Mundle-Smith,20,183,75,England,Fulham,250000,Left
Dan N'Lundulu,21,180,75,England,Southampton,275000,Right
Jay Stansfield,17,180,71,England,Fulham,275000,Right
Christian Fernandes Marques,17,187,75,Switzerland,Wolverhampton Wanderers,250000,Right
Jamie Soule,19,172,58,England,West Bromwich Albion,275000,Right
Bobby Thomas,19,186,77,England,Burnley,250000,Right
Harrison Ashby,18,180,75,Scotland,West Ham United,240000,Right
Regan Slater,20,173,65,England,Sheffield United,275000,Right
Mésaque Geremias Djú,21,178,63,Portugal,West Ham United,250000,Right
Oladapo Afolayan,22,180,70,England,West Ham United,200000,Right
Fabio Carvalho,17,170,63,England,Fulham,230000,Right
Timmy Abraham,19,185,78,England,Fulham,220000,Right
Lewis Cass,20,186,74,England,Newcastle United,210000,Right
Robert Harker,20,181,80,England,Burnley,230000,Right
Edward Francis,20,182,76,England,Wolverhampton Wanderers,210000,Right
Tyrese Jay Francois,19,170,60,Australia,Fulham,220000,Left
Giovanni McGregor,21,176,71,England,Crystal Palace,230000,Right
Joel Mumbongo,21,188,80,Sweden,Burnley,160000,Right
Jensen Weir,18,178,70,England,Brighton & Hove Albion,180000,Right
Jack Young,19,175,60,England,Newcastle United,190000,Right
Ajibola Alese,19,185,70,England,West Ham United,160000,Right
Sam Woods,21,186,77,England,Crystal Palace,160000,Right
Taylor Perry,18,180,72,England,Wolverhampton Wanderers,160000,Right
Jacob Ramsey,19,180,70,England,Aston Villa,170000,Right
Dominic Revan,19,192,81,England,Aston Villa,160000,Left
Charlie Cresswell,17,191,80,England,Leeds United,150000,Right
Bernardo Costa da Rosa,19,177,74,Brazil,West Ham United,170000,Right
Jayden John-Lloyd Harris,20,188,79,England,Fulham,130000,Right
Rico Richards,16,178,68,England,West Bromwich Albion,150000,Left
Luke Cundle,18,170,62,England,Wolverhampton Wanderers,150000,Right
George Harmon,19,180,72,England,West Bromwich Albion,140000,Left
James Furlong,18,178,71,Republic of Ireland,Brighton & Hove Albion,130000,Left
Alexander Cochrane,20,175,70,England,Brighton & Hove Albion,140000,Left
Marcel Elva-Fountaine,19,171,65,England,Burnley,140000,Right
Nikola Tavares,21,185,76,Croatia,Crystal Palace,120000,Left
Lewis Richards,18,182,72,Republic of Ireland,Wolverhampton Wanderers,130000,Left
Saul Shotton,19,184,75,England,West Bromwich Albion,120000,Right
Owen Windsor,18,178,70,England,West Bromwich Albion,120000,Left
Kyron Gordon,18,187,76,England,Sheffield United,100000,Right
Lewis Brunt,19,178,68,England,Aston Villa,110000,Right
Michael Tait,19,178,68,England,Aston Villa,110000,Right
Callum Miles Rowe,20,180,70,England,Aston Villa,80000,Right
Jean Belehouan,19,190,76,France,Sheffield United,60000,Left
Harry Boyes,22,178,73,England,Sheffield United,45000,Left
